time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999999,1.07272
0.01,-4.8902309344978e-09,0.01,0.004,-0.0049073915553088,0.036069999999999,1.06872
0.029,-1.4166141176597e-08,0.019,0.0116,-0.014215852484783,0.036069999999999,1.06112
0.0651,-3.273122327052e-08,0.0361,0.02604,-0.032846082490616,0.036069999999999,1.04668
0.1,-5.2877550033204e-08,0.0349,0.04,-0.05306310601158,0.036069999999999,1.03272
0.2,-1.3339179311486e-07,0.1,0.08,-0.13385988675125,0.036069999999999,0.99272
0.3,-2.703224837153e-07,0.1,0.12,-0.27127108955864,0.036069999999999,0.95272
0.4,-4.9343035157039e-07,0.1,0.16,-0.49516187944164,0.036069999999999,0.91272
0.5,-8.3765353406375e-07,0.1,0.2,-0.84059299742685,0.036069999999999,0.87272
0.6,-1.3495001965408e-06,0.1,0.24,-1.3542358136246,0.036069999999999,0.83272
0.72,-2.2719507369172e-06,0.12,0.288,-2.2799233839393,0.036069999999999,0.78472
0.864,-3.9853812801889e-06,0.144,0.3456,-3.9993666354518,0.036069999999999,0.72712
1,-6.3497566235392e-06,0.136,0.4,-6.3720389588968,0.036069999999999,0.67272
