time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999998,1.07272
0.01,-4.9491559319605e-09,0.01,0.004,-0.0049665233302327,0.036069999999998,1.06872
0.029,-1.4341891604819e-08,0.019,0.0116,-0.014392219650026,0.036069999999998,1.06112
0.0651,-3.3178440556768e-08,0.0361,0.02604,-0.033294869135524,0.036069999999998,1.04668
0.1,-5.367835927e-08,0.0349,0.04,-0.053866725419069,0.036069999999998,1.03272
0.2,-1.3654062345297e-07,0.1,0.08,-0.13701976685044,0.036069999999998,0.99272
0.3,-2.796662176051e-07,0.1,0.12,-0.28064761214009,0.036069999999998,0.95272
0.4,-5.1518552109142e-07,0.1,0.16,-0.51699339141353,0.036069999999998,0.91272
0.5,-8.7872868229685e-07,0.1,0.2,-0.88181228507852,0.036069999999998,0.87272
0.6,-1.4158185104728e-06,0.1,0.24,-1.4207868493755,0.036069999999998,0.83272
0.72,-2.3724729421356e-06,0.12,0.288,-2.3807983380299,0.036069999999998,0.78472
0.864,-4.1206530073201e-06,0.144,0.3456,-4.1351130532156,0.036069999999998,0.72712
1,-6.4995947713673e-06,0.136,0.4,-6.522402913312,0.036069999999998,0.67272
