time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999998,1.07272
0.01,-5.564930974548e-09,0.01,0.004,-0.0055844592282384,0.036069999999998,1.06872
0.029,-1.6100903615903e-08,0.019,0.0116,-0.016157404322182,0.036069999999998,1.06112
0.0651,-3.6996192410814e-08,0.0361,0.02604,-0.037126018105738,0.036069999999998,1.04668
0.1,-5.9221113900737e-08,0.0349,0.04,-0.059428930483076,0.036069999999998,1.03272
0.2,-1.4327606477708e-07,0.1,0.08,-0.14377884394065,0.036069999999998,0.99272
0.3,-2.7608373230232e-07,0.1,0.12,-0.27705255530998,0.036069999999998,0.95272
0.4,-4.8361373263741e-07,0.1,0.16,-0.48531081238598,0.036069999999998,0.91272
0.5,-8.0142849581835e-07,0.1,0.2,-0.80424083959272,0.036069999999998,0.87272
0.6,-1.281983040754e-06,0.1,0.24,-1.2864817290866,0.036069999999998,0.83272
0.72,-2.1750687999872e-06,0.12,0.288,-2.1827014724344,0.036069999999998,0.78472
0.864,-3.8862093936567e-06,0.144,0.3456,-3.8998467385367,0.036069999999998,0.72712
1,-6.2763658143306e-06,0.136,0.4,-6.2983906093256,0.036069999999998,0.67272
