time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999998,1.07272
0.01,-6.8801298279657e-09,0.01,0.004,-0.0069042733297123,0.036069999999998,1.06872
0.029,-1.9883240169914e-08,0.019,0.0116,-0.019953013714276,0.036069999999998,1.06112
0.0651,-4.534882616817e-08,0.0361,0.02604,-0.045507962622157,0.036069999999998,1.04668
0.1,-7.1640471289048e-08,0.0349,0.04,-0.071891869429336,0.036069999999998,1.03272
0.2,-1.634360392648e-07,0.1,0.08,-0.16400956307876,0.036069999999998,0.99272
0.3,-2.9309822608773e-07,0.1,0.12,-0.29412675573912,0.036069999999998,0.95272
0.4,-4.7876638595422e-07,0.1,0.16,-0.48044645556983,0.036069999999998,0.91272
0.5,-7.4524809996341e-07,0.1,0.2,-0.74786329753278,0.036069999999998,0.87272
0.6,-1.128547824263e-06,0.1,0.24,-1.1325080833057,0.036069999999998,0.83272
0.72,-1.810010450026e-06,0.12,0.288,-1.8163620729684,0.036069999999998,0.78472
0.864,-3.0640659064463e-06,0.144,0.3456,-3.0748182152564,0.036069999999998,0.72712
1,-4.7755538159392e-06,0.136,0.4,-4.7923120159701,0.036069999999998,0.67272
