time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999998,1.07272
0.01,-1.4134355783461e-08,0.01,0.004,-0.0141839555515,0.036069999999998,1.06872
0.029,-4.0874736062536e-08,0.019,0.0116,-0.041018172201997,0.036069999999998,1.06112
0.0651,-9.4013408233594e-08,0.0361,0.02604,-0.094343316671755,0.036069999999998,1.04668
0.1,-1.5021941752278e-07,0.0349,0.04,-0.15074656204766,0.036069999999998,1.03272
0.2,-3.6029031811017e-07,0.1,0.08,-0.36155463581086,0.036069999999998,0.99272
0.3,-6.8274922944685e-07,0.1,0.12,-0.6851451082494,0.036069999999998,0.95272
0.4,-1.1602065126019e-06,0.1,0.16,-1.164277867164,0.036069999999998,0.91272
0.5,-1.8334571170684e-06,0.1,0.2,-1.8398910182033,0.036069999999998,0.87272
0.6,-2.745598461352e-06,0.1,0.24,-2.7552332157686,0.036069999999998,0.83272
0.72,-4.2134369934344e-06,0.12,0.288,-4.2282226335246,0.036069999999998,0.78472
0.864,-6.5782167158725e-06,0.144,0.3456,-6.6013007550898,0.036069999999998,0.72712
1,-9.4322043277532e-06,0.136,0.4,-9.4653034766581,0.036069999999998,0.67272
